,no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count,bookImageURL,bookDtlUrl
0,1,1,달러구트 꿈 백화점.이미예 장편소설 ,지은이: 이미예,팩토리나인,2020,9791165341909,03810,,813.7,문학 > 한국문학 > 소설,2220,https://image.aladin.co.kr/product/24512/70/cover/k392630952_1.jpg,https://data4library.kr/bookV?seq=5707051
1,2,2,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 ",룰루 밀러 지음 ;정지인 옮김,곰출판,2021,9791189327156,03400,,490.99,자연과학 > 동물학 > 동물학,2207,https://image.aladin.co.kr/product/28465/73/cover/k092835920_1.jpg,https://data4library.kr/bookV?seq=6360937
2,3,3,지구 끝의 온실 :김초엽 장편소설 ,지은이: 김초엽,Giant Books(자이언트북스),2021,9791191824001,03810,,813.7,문학 > 한국문학 > 소설,2120,https://image.aladin.co.kr/product/27692/63/cover/k082733434_1.jpg,https://data4library.kr/bookV?seq=6065686
3,4,4,불편한 편의점 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2021,9791161571188,03810,,813.7,문학 > 한국문학 > 소설,2056,https://image.aladin.co.kr/product/26942/84/cover/k582730818_1.jpg,https://data4library.kr/bookV?seq=5962217
4,5,5,"시선으로부터, :정세랑 장편소설 ",지은이: 정세랑,문학동네,2020,9788954672214,03810,,813.7,문학 > 한국문학 > 소설,2029,https://image.aladin.co.kr/product/24131/37/cover/8954672213_1.jpg,https://data4library.kr/bookV?seq=5674475
5,6,6,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ,지은이: 김초엽,허블,2019,9791190090018,03810,,813.7,문학 > 한국문학 > 소설,2011,https://image.aladin.co.kr/product/19359/16/cover/s972635417_1.jpg,https://data4library.kr/bookV?seq=5430429
6,7,7,천 개의 파랑 :천선란 장편소설 ,지은이: 천선란,허블,2020,9791190090261,03810,,813.7,문학 > 한국문학 > 소설,1722,https://image.aladin.co.kr/product/24895/69/cover/k882632470_2.jpg,https://data4library.kr/bookV?seq=5738747
7,8,8,"칵테일, 러브, 좀비 ",지은이: 조예은,안전가옥,2020,9791190174756,03810,,813.7,문학 > 한국문학 > 소설,1691,https://image.aladin.co.kr/product/23736/85/cover/k692639764_1.jpg,https://data4library.kr/bookV?seq=5650149
8,9,9,홍학의 자리 :정해연 장편소설 ,지은이: 정해연,문학동네,2021,9788954681155,03810,,813.7,문학 > 한국문학 > 소설,1670,https://image.aladin.co.kr/product/27587/94/cover/8954681158_1.jpg,https://data4library.kr/bookV?seq=6050062
9,10,10,지구에서 한아뿐 :정세랑 장편소설 ,지은이: 정세랑,난다,2019,9791188862290,03810,,813.7,문학 > 한국문학 > 소설,1661,https://image.aladin.co.kr/product/19804/82/cover/k072635131_1.jpg,https://data4library.kr/bookV?seq=5446546
10,11,11,밝은 밤 :최은영 장편소설 ,지은이: 최은영,문학동네,2021,9788954681179,03810,,813.7,문학 > 한국문학 > 소설,1639,https://image.aladin.co.kr/product/27541/91/cover/8954681174_1.jpg,https://data4library.kr/bookV?seq=6045915
11,12,12,달러구트 꿈 백화점.이미예 장편소설 ,지은이: 이미예,팩토리나인,2020,9791165343729,03810,2,813.7,문학 > 한국문학 > 소설,1611,https://image.aladin.co.kr/product/27587/47/cover/k962733015_1.jpg,https://data4library.kr/bookV?seq=6049391
12,13,13,아몬드손원평 장편소설,손원평,창비,2017,9788936434267,03810,,813.7,문학 > 한국문학 > 소설,1598,http://image.aladin.co.kr/product/16839/4/cover/k492534773_1.jpg,https://data4library.kr/bookV?seq=3423096
